name,return_type,arg_names,arg_types
gsw_specvol_anom_standard,double,sa; ct; p,double; double; double
gsw_specvol_ice,double,t; p,double; double
gsw_specvol_sso_0,double,p,double
gsw_specvol_t_exact,double,sa; t; p,double; double; double
gsw_spiciness0,double,sa; ct,double; double
gsw_spiciness1,double,sa; ct,double; double
gsw_spiciness2,double,sa; ct,double; double
gsw_sr_from_sp,double,sp,double
gsw_sstar_from_sa,double,sa; p; lon; lat,double; double; double; double
gsw_sstar_from_sp,double,sp; p; lon; lat,double; double; double; double
gsw_t_deriv_chem_potential_water_t_exact,double,sa; t; p,double; double; double
gsw_t_freezing,double,sa; p; saturation_fraction,double; double; double
gsw_t_freezing_poly,double,sa; p; saturation_fraction,double; double; double
gsw_t_from_ct,double,sa; ct; p,double; double; double
gsw_t_from_pt0_ice,double,pt0_ice; p,double; double
gsw_thermobaric,double,sa; ct; p,double; double; double
gsw_z_from_p,double,p; lat,double; double
